title,code_snippet,query_code_snippet,recommendation_result,recommendation_code_snippet_url
1. Db transaction,"db.beginTransaction();
try {
  ...
  db.setTransactionSuccessful();
} finally {
  db.endTransaction();
}","db.beginTransaction();
db.setTransactionSuccessful();",Recall,"https://github.com/wordpress-mobile/WordPress-Android/blob/fec178d21554d455c738f72d20a0c8fd769ce178/WordPress/src/main/java/org/wordpress/android/datasets/ReaderUserTable.java#L59,L78"
2. Get/Release cursor,"Cursor cursor = ....;
try {
  do something with the cursor
} finally {
  cursor.close();
}",Cursor cursor = null;,Recall,"https://github.com/siacs/Conversations/blob/e27e3ecf92fc2516bca80a41844fad1b63efbb27/src/main/java/eu/siacs/conversations/persistance/DatabaseBackend.java#L875,L882"
3. Fragment Transaction,"FragmentManager fragmentManager = getFragmentManager();
Fragment newFragment = new ExampleFragment();
FragmentTransaction fragmentTransaction = fragmentManager.beginTransaction();

transaction.replace(R.id.fragment_container, newFragment);
transaction.addToBackStack(null);

transaction.commit();","FragmentManager fragmentManager = getFragmentManager();
Fragment newFragment = new ExampleFragment();
FragmentTransaction fragmentTransaction = fragmentManager.beginTransaction();

transaction.replace(R.id.fragment_container, newFragment);
transaction.addToBackStack(null);",Recall,"https://github.com/arcbit/arcbit-android/blob/88c6b398def5ff64ae9abff3ccda2524dc346208/app/src/main/java/com/arcbit/arcbit/ui/AccountsFragment.java#L203,L215"
4. Show Toast,"Toast toast = Toast.makeText(context, text, duration);
toast.show();","Toast toast = Toast.makeText(context, text, duration);",Recall,"https://github.com/klinker24/Android-SlidingMessaging/blob/83fd350fb3a0f129ab6115d4ced69c6876d3b158/src/main/java/com/klinker/android/messaging_sliding/security/SetPinActivity.java#L75,L76"
5. Show AlertDialog,"AlertDialogBuilder builder = new AlertDialog.Builder(context);
// several methods to set up the dialog
builder.setTitle("""");

// do stuff with the builder
builder.setTitle(""Delete entry"");
builder.setMessage(""Are you sure you want to delete this entry?"");

AlertDialog alertDialog = builder.create();
alertDialog.show();","AlertDialogBuilder builder = new AlertDialog.Builder(context);
builder.setTitle(""some title"");
builder.setMessage(""some message"");",Recall,"https://github.com/quemb/QMBForm/blob/95ddd131669531e61d75a7515b29f374fb557272/lib/QMBForm/src/main/java/com/quemb/qmbform/view/FormTextPickerDialogFieldCell.java#L83,L87"
6. Retrieve/Release Parcel,"android.os.Parcel _data = android.os.Parcel.obtain();
try {
  // do stuff with the parcel (e.g.)
  _data.writeInterfaceToken(DESCRIPTOR);
}
finally {
  _data.recycle();
}",android.os.Parcel _data = android.os.Parcel.obtain();,Recall,"https://github.com/twjitm/afhq/blob/fa1e423096faaa9392af460e43c8bb97f0a7e14c/gen/com/example/android/ITelephony.java#L438,L451"
7a. Create/Send Intent,"Intent i = new Intent(EditActivity.this, ViewActivity.class);
i.putExtra(""name"", edtName.getText().toString();
i.putExtra(""surname"", edtSurname.getText().toString();
i.putExtra(""email"", edtEmail.getText().toString();
startActivity(i);","Intent i = new Intent(EditActivity.this, ViewActivity.class);
i.putExtra(""name"", edtName.getText().toString());",Recall,"https://github.com/jmimohsin/Android-Google-Map-2/blob/e2c1defd6b3144cd423d58d2834ba12b9d101509/src/com/example/friendlocation/Signin.java#L151,L157"
7b. Create/Send Intent,"Intent i = new Intent(EditActivity.this, ViewActivity.class);
Bundle b = new Bundle();
b.putString(""name"", edtName.getText().toString());
b.putString(""surname"", edtSurname.getText().toString());
b.putString(""email"", edtEmail.getText().toString());
i.putExtras(b);
startActivity(i);","Intent i = new Intent(EditActivity.this, ViewActivity.class);
Bundle b = new Bundle();",No Recall,
7c. Create/Send Intent,"Intent i = new Intent(EditActivity.this, ViewActivity.class);
Bundle b = new Bundle();
i.putExtras(b);
startService(i);","Intent i = new Intent(EditActivity.this, ViewActivity.class);
Bundle b = new Bundle();",No Recall,
8. Retrieve from backstack,"if (getFragmentManager().getBackStackEntryCount() > 0) {
  getFragmentManager().popBackStack();
} else {
  super.onBackPressed(); // this is there if used in the onBackPressed callback
}","if (getFragmentManager().getBackStackEntryCount() > 0) {
  getFragmentManager().popBackStack();
}",Recall,"https://github.com/wordpress-mobile/WordPress-Android/blob/fec178d21554d455c738f72d20a0c8fd769ce178/WordPress/src/main/java/org/wordpress/android/ui/publicize/PublicizeListActivity.java#L219,L224"
